Nomenclature,ReporterISO3,ProductCode,ReporterName,PartnerISO3,PartnerName,Year,TradeFlowName,TradeFlowCode,TradeValue in 1000 USD
S2,AUT,Total,Austria,EU-UK,EU28 - EU members (excl. UK) --- EU,2008,Gross Exp.,2,120916497.1
S2,AUT,Total,Austria,EU-UK,EU28 - EU members (excl. UK) --- EU,2008,Gross Imp.,1,126581644.2
S2,AUT,Total,Austria,EU-UK,EU28 - EU members (excl. UK) --- EU,2008,Import,5,126581644.2
S2,AUT,Total,Austria,EU-UK,EU28 - EU members (excl. UK) --- EU,2009,Export,6,90857827.1
S2,AUT,Total,Austria,EU-UK,EU28 - EU members (excl. UK) --- EU,2009,Gross Exp.,2,90857827.1
S2,AUT,Total,Austria,EU-UK,EU28 - EU members (excl. UK) --- EU,2009,Gross Imp.,1,98082624.63
S2,AUT,Total,Austria,EU-UK,EU28 - EU members (excl. UK) --- EU,2009,Import,5,98082624.63
S2,AUT,Total,Austria,EU-UK,EU28 - EU members (excl. UK) --- EU,2010,Export,6,99263395.06
S2,AUT,Total,Austria,EU-UK,EU28 - EU members (excl. UK) --- EU,2010,Gross Exp.,2,99263395.06
S2,AUT,Total,Austria,EU-UK,EU28 - EU members (excl. UK) --- EU,2010,Gross Imp.,1,107512169.2
S2,AUT,Total,Austria,EU-UK,EU28 - EU members (excl. UK) --- EU,2010,Import,5,107512169.2
S2,AUT,Total,Austria,EU-UK,EU28 - EU members (excl. UK) --- EU,2011,Export,6,113736013.2
S2,AUT,Total,Austria,EU-UK,EU28 - EU members (excl. UK) --- EU,2011,Gross Exp.,2,113736013.2
S2,AUT,Total,Austria,EU-UK,EU28 - EU members (excl. UK) --- EU,2011,Gross Imp.,1,128224351.6
S2,AUT,Total,Austria,EU-UK,EU28 - EU members (excl. UK) --- EU,2011,Import,5,128224351.6
S2,AUT,Total,Austria,EU-UK,EU28 - EU members (excl. UK) --- EU,2012,Export,6,102245515.4
S2,AUT,Total,Austria,EU-UK,EU28 - EU members (excl. UK) --- EU,2012,Gross Exp.,2,102245515.4
S2,AUT,Total,Austria,EU-UK,EU28 - EU members (excl. UK) --- EU,2012,Gross Imp.,1,115076489.6
S2,AUT,Total,Austria,EU-UK,EU28 - EU members (excl. UK) --- EU,2012,Import,5,115076489.6
S2,AUT,Total,Austria,EU-UK,EU28 - EU members (excl. UK) --- EU,2013,Export,6,107166461.8
S2,AUT,Total,Austria,EU-UK,EU28 - EU members (excl. UK) --- EU,2013,Gross Exp.,2,107166461.8
S2,AUT,Total,Austria,EU-UK,EU28 - EU members (excl. UK) --- EU,2013,Gross Imp.,1,118675628.4
S2,AUT,Total,Austria,EU-UK,EU28 - EU members (excl. UK) --- EU,2013,Import,5,118675628.4
S2,AUT,Total,Austria,EU-UK,EU28 - EU members (excl. UK) --- EU,2014,Export,6,109062541.4
S2,AUT,Total,Austria,EU-UK,EU28 - EU members (excl. UK) --- EU,2014,Gross Exp.,2,109062541.4
S2,AUT,Total,Austria,EU-UK,EU28 - EU members (excl. UK) --- EU,2014,Gross Imp.,1,118153796.1
S2,AUT,Total,Austria,EU-UK,EU28 - EU members (excl. UK) --- EU,2014,Import,5,118153796.1
S2,AUT,Total,Austria,EU-UK,EU28 - EU members (excl. UK) --- EU,2015,Export,6,93686892.58
S2,AUT,Total,Austria,EU-UK,EU28 - EU members (excl. UK) --- EU,2015,Gross Exp.,2,93686892.58
S2,AUT,Total,Austria,EU-UK,EU28 - EU members (excl. UK) --- EU,2015,Gross Imp.,1,100267447.2
S2,AUT,Total,Austria,EU-UK,EU28 - EU members (excl. UK) --- EU,2015,Import,5,100267447.2
S2,AUT,Total,Austria,EU-UK,EU28 - EU members (excl. UK) --- EU,2016,Export,6,94001514
S2,AUT,Total,Austria,EU-UK,EU28 - EU members (excl. UK) --- EU,2016,Gross Exp.,2,94001514
S2,AUT,Total,Austria,EU-UK,EU28 - EU members (excl. UK) --- EU,2016,Gross Imp.,1,103306951.3
S2,AUT,Total,Austria,EU-UK,EU28 - EU members (excl. UK) --- EU,2016,Import,5,103306951.3
S2,AUT,Total,Austria,EU-UK,EU28 - EU members (excl. UK) --- EU,2017,Export,6,104922705.1
S2,AUT,Total,Austria,EU-UK,EU28 - EU members (excl. UK) --- EU,2017,Gross Exp.,2,104922705.1
S2,AUT,Total,Austria,EU-UK,EU28 - EU members (excl. UK) --- EU,2017,Gross Imp.,1,114150852.2
S2,AUT,Total,Austria,EU-UK,EU28 - EU members (excl. UK) --- EU,2017,Import,5,114150852.2
S2,AUT,Total,Austria,EU-UK,EU28 - EU members (excl. UK) --- EU,2018,Export,6,118080275.8
S2,AUT,Total,Austria,EU-UK,EU28 - EU members (excl. UK) --- EU,2018,Gross Exp.,2,118080275.8
S2,AUT,Total,Austria,EU-UK,EU28 - EU members (excl. UK) --- EU,2018,Gross Imp.,1,126144416.4
S2,AUT,Total,Austria,EU-UK,EU28 - EU members (excl. UK) --- EU,2018,Import,5,126144416.4
S2,AUT,Total,Austria,EU-UK,EU28 - EU members (excl. UK) --- EU,2019,Export,6,113780751.9
S2,AUT,Total,Austria,EU-UK,EU28 - EU members (excl. UK) --- EU,2019,Gross Exp.,2,113780751.9
S2,AUT,Total,Austria,EU-UK,EU28 - EU members (excl. UK) --- EU,2019,Gross Imp.,1,119910857.3
S2,AUT,Total,Austria,EU-UK,EU28 - EU members (excl. UK) --- EU,2019,Import,5,119910857.3
S2,AUT,Total,Austria,EU-UK,EU28 - EU members (excl. UK) --- EU,2020,Export,6,109211286.3
S2,AUT,Total,Austria,EU-UK,EU28 - EU members (excl. UK) --- EU,2020,Gross Exp.,2,109211286.3
S2,AUT,Total,Austria,EU-UK,EU28 - EU members (excl. UK) --- EU,2020,Gross Imp.,1,112079697.4
S2,AUT,Total,Austria,EU-UK,EU28 - EU members (excl. UK) --- EU,2020,Import,5,112079697.4
S2,AUT,Total,Austria,EU-UK,EU28 - EU members (excl. UK) --- EU,2021,Export,6,131902179.3
S2,AUT,Total,Austria,EU-UK,EU28 - EU members (excl. UK) --- EU,2021,Gross Exp.,2,131902179.3
S2,AUT,Total,Austria,EU-UK,EU28 - EU members (excl. UK) --- EU,2021,Gross Imp.,1,139888644.2
S2,AUT,Total,Austria,EU-UK,EU28 - EU members (excl. UK) --- EU,2021,Import,5,139888644.2
S2,AUT,Total,Austria,EU-UK,EU28 - EU members (excl. UK) --- EU,2022,Export,6,138551547.1
S2,AUT,Total,Austria,EU-UK,EU28 - EU members (excl. UK) --- EU,2022,Gross Exp.,2,138551547.1
S2,AUT,Total,Austria,EU-UK,EU28 - EU members (excl. UK) --- EU,2022,Gross Imp.,1,145588368.8
S2,AUT,Total,Austria,EU-UK,EU28 - EU members (excl. UK) --- EU,2022,Import,5,145588368.8
S2,AUT,Total,Austria,EU-UK,EU28 - EU members (excl. UK) --- EU,2023,Export,6,146824855.9
S2,AUT,Total,Austria,EU-UK,EU28 - EU members (excl. UK) --- EU,2023,Gross Exp.,2,146824855.9
S2,AUT,Total,Austria,EU-UK,EU28 - EU members (excl. UK) --- EU,2023,Gross Imp.,1,140575240
S2,AUT,Total,Austria,EU-UK,EU28 - EU members (excl. UK) --- EU,2023,Import,5,140575240
S2,BEL,Total,Belgium,EU-UK,EU28 - EU members (excl. UK) --- EU,1999,Export,6,122956576.5
S2,BEL,Total,Belgium,EU-UK,EU28 - EU members (excl. UK) --- EU,1999,Gross Exp.,2,122956576.5
S2,BEL,Total,Belgium,EU-UK,EU28 - EU members (excl. UK) --- EU,1999,Gross Imp.,1,104956976.2
S2,BEL,Total,Belgium,EU-UK,EU28 - EU members (excl. UK) --- EU,1999,Import,5,104956976.2
S2,BEL,Total,Belgium,EU-UK,EU28 - EU members (excl. UK) --- EU,2000,Export,6,125693635.6
S2,BEL,Total,Belgium,EU-UK,EU28 - EU members (excl. UK) --- EU,2000,Gross Exp.,2,125693635.6
S2,BEL,Total,Belgium,EU-UK,EU28 - EU members (excl. UK) --- EU,2000,Gross Imp.,1,110229103.3
S2,BEL,Total,Belgium,EU-UK,EU28 - EU members (excl. UK) --- EU,2000,Import,5,110229103.3
S2,BEL,Total,Belgium,EU-UK,EU28 - EU members (excl. UK) --- EU,2001,Export,6,129342818.8
S2,BEL,Total,Belgium,EU-UK,EU28 - EU members (excl. UK) --- EU,2001,Gross Exp.,2,129342818.8
S2,BEL,Total,Belgium,EU-UK,EU28 - EU members (excl. UK) --- EU,2001,Gross Imp.,1,114777352.6
S2,BEL,Total,Belgium,EU-UK,EU28 - EU members (excl. UK) --- EU,2001,Import,5,114777352.6
S2,BEL,Total,Belgium,EU-UK,EU28 - EU members (excl. UK) --- EU,2002,Export,6,142255782.4
S2,BEL,Total,Belgium,EU-UK,EU28 - EU members (excl. UK) --- EU,2002,Gross Exp.,2,142255782.4
S2,BEL,Total,Belgium,EU-UK,EU28 - EU members (excl. UK) --- EU,2002,Gross Imp.,1,129618949.7
S2,BEL,Total,Belgium,EU-UK,EU28 - EU members (excl. UK) --- EU,2002,Import,5,129618949.7
S2,BEL,Total,Belgium,EU-UK,EU28 - EU members (excl. UK) --- EU,2003,Export,6,174236543.2
